parsed_duration,parsed_name,parsed_objectives,parsed_price,parsed_sku,parsed_url,processed_duration,processed_price
2 jours - 14 h,Formation : Élaborer et négocier son contrat unifié d’amélioration de la qualité et de l’efficience des soins (CAQES),"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Appréhender le contenu du CAQES </li>
<li>Acquérir les fondamentaux de la démarche de contractualisation </li>
<li>Négocier et assurer le suivi de son CAQES</li>
</ul>
                                            </div>",1 300 €,4968,https://www.comundi.fr/formation-strategies-hospitalieres-filieres-et-cooperations/formation-elaborer-et-negocier-son-contrat-unifie-d-amelioration-de-la-qualite-et-de-l-efficience-des-soins-caqes.html,14,1300
5 jours - 35 h,CYCLE : Piloter et manager un pôle hospitalier,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Maîtriser la méthodologie de projet de pôle et sa conduite dans le temps</li>
<li>Assurer le pilotage du pôle par des indicateurs adaptés à vos spécificités</li>
<li>Acquérir les compétences nécessaires au management d’équipe</li>
<li>Instaurer une communication efficace, de confiance, sécuritaire</li>
<li>Piloter par la culture de la qualité et de la gestion des risques</li>
</ul>
                                            </div>",3 175 €,4627,https://www.comundi.fr/formation-strategies-hospitalieres-filieres-et-cooperations/cycle-piloter-et-manager-un-pole-hospitalier.html,35,3175
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation : Valoriser la formation professionnelle au sein de son entreprise,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Marketer les formations pour susciter l’adhésion en interne</li>
<li>Dynamiser l’avant, le pendant et l’après formation par des outils et solutions innovantes</li>
<li>Revaloriser la formation pour en faire un levier de changement durable pour l’entreprise</li>
</ul>
                                            </div>",,4758,https://www.comundi.fr/formation-management-de-la-formation/formation-valoriser-la-formation-professionnelle-au-sein-de-son-entreprise.html,,
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation : Evaluer la performance de sa formation,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Mesurer l’efficacité de ses actions de formation, son Retour sur Investissement (ROI)</li>
<li>Choisir les bons indicateurs de mesure et de suivi des formations</li>
<li>Evaluer à bon escient, au bon moment, et savoir présenter les résultats</li>
</ul>
                                            </div>",,4765,https://www.comundi.fr/formation-management-de-la-formation/formation-evaluer-la-performance-de-sa-formation.html,,
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation : Construire le parcours professionnel des agents,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Passer d'une gestion administrative à un pilotage par les compétences</li><li>Utiliser efficacement les nouveaux outils d’orientation professionnelle</li>
<li>Accompagner les projets professionnels des collaborateurs tout en répondant aux besoins de l’établissement</li>
<li>Conduire des entretiens professionnels ou de carrière</li>
</ul>
                                            </div>",,ST21,https://www.comundi.fr/formation-gpec-1/formation-construire-le-parcours-professionnel-des-agents.html,,
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Atelier : Optimiser le financement de la formation en entreprise,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Diagnostiquer  et optimiser ligne par ligne le financement de son plan de formation
</li><li>Maîtriser les différentes modalités de financement de la formation
</li><li>Economiser jusqu'à 25% du financement de son plan de formation</li></ul>
                                            </div>",,2883,https://www.comundi.fr/formation-droit-et-financement-de-la-formation-2/atelier-optimiser-le-financement-de-la-formation-en-entreprise.html,,
3 jours - 21 h,Parcours certifiant - Piloter la formation professionnelle en entreprise,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Maitriser les obligations légales liées à la formation en entreprise</li>
<li>Optimiser l'ingénierie financière de sa politique formation</li>
<li>Maîtriser les outils inhérents à la formation professionnelle en entreprise</li>
</ul>
                                            </div>",2 200 €,KM20,https://www.comundi.fr/formation-management-de-la-formation/parcours-certifiant-piloter-la-formation-professionnelle-en-entreprise.html,21,2200
2 jours - 14 h,Formation : Stratégie de communication pour Responsable Formation,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Construire une stratégie de communication autour de la formation pour valoriser les initiatives et actions en matière de formation</li>
<li>Optimiser l'impact de sa communication orale et écrite et maîtriser les outils à disposition</li>
<li>Accompagner les salariés dans leur choix d’avenir professionnel</li>
<li>Maîtriser les techniques de négociation avec les partenaires internes et externes</li>
</ul>
                                            </div>",1 300 €,2981,https://www.comundi.fr/formation-management-de-la-formation/formation-strategie-de-communication-pour-responsable-formation.html,14,1300
2 jours - 14 h,Formation : Piloter un projet de digital learning,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Identifier la bonne solution digitale pour répondre à un besoin de formation</li>
<li>Maîtriser les étapes clés de mise en place du digital learning</li>
<li>Choisir et manager son prestataire de digital learning</li>
</ul>
                                            </div>",1 300 €,2778,https://www.comundi.fr/formation-ingenierie-pedagogique/formation-piloter-un-projet-de-digital-learning.html,14,1300
2 jours - 14 h,Formation : Le Conseil en Evolution Professionnelle,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Définir son rôle et ses missions en fonction de son contexte et de son environnement
</li><li>Positionner et acquérir la bonne posture
</li><li>Acquérir les outils et méthodologies du Conseil en Evolution Professionnelle</li></ul>
                                            </div>",1 350 €,RC99,https://www.comundi.fr/formation-gpec/formation-le-conseil-en-evolution-professionnelle.html,14,1350
2 jours - 14 h,Formation : Construire et piloter son plan de développement des compétences,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Acquérir outils et méthodologie pour construire et mettre en oeuvre son plan de développement des compétences</li>
<li>Maitriser les obligations légales liés à la formation en entreprise</li>
<li>Optimiser l'ingénierie financière suite à la réforme</li>
</ul>
                                            </div>",1 300 €,CR45,https://www.comundi.fr/formation-management-de-la-formation/formation-construire-et-piloter-son-plan-de-developpement-des-competences.html,14,1300
2 jours - 14 h,Formation : Chargé(e) de Formation performant(e),"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Acquérir et développer les compétences du métier de responsable de la formation</li>
<li>Donner une nouvelle dimension à votre poste</li>
<li>Développer sa propre efficacité et celle du service formation</li>
</ul>
                                            </div>",1 450 €,MC21,https://www.comundi.fr/formation-management-de-la-formation/formation-charge-e-de-formation-performant-e.html,14,1450
2 jours - 14 h,Formation : TVA et fiscalité des établissements de santé,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Identifier les modalités d'application et de récupération de la TVA
</li><li>Prévenir les erreurs et les litiges avec l'administration fiscale
</li><li>Intégrer les particularités des groupements et contrats</li></ul>
                                            </div>",1 745 €,ME03,https://www.comundi.fr/formation-finances-hospitalieres-1/formation-tva-et-fiscalite-des-etablissements-de-sante.html,14,1745
2 jours - 14 h,Formation : Optimiser la gestion budgétaire et la comptabilité de votre GCS,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Construire le budget du groupement
</li><li>Intégrer les outils de comptabilité analytique et d'analyse financière pour piloter votre GCS
</li><li>Organiser la coopération financière pour améliorer le fonctionnement de votre GCS</li></ul>
                                            </div>",1 755 €,AH02,https://www.comundi.fr/formation-strategies-hospitalieres-filieres-et-cooperations/formation-optimiser-la-gestion-budgetaire-et-la-comptabilite-de-votre-gcs.html,14,1755
2 jours - 14 h,Formation : Mettre en place et maîtriser les règles de facturation dans le cadre de FIDES,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Maitriser l'ensemble des règles afin d'optimiser le recouvrement
</li><li>Repenser l'organisation de la chaîne de facturation et de recouvrement
</li><li>Sensibiliser les agents aux enjeux de saisie des données médico-administratives</li></ul>
                                            </div>",1 300 €,2458,https://www.comundi.fr/formation-protection-des-donnees-rh/formation-mettre-en-place-et-maitriser-les-regles-de-facturation-dans-le-cadre-de-fides.html,14,1300
1 jour - 7 h,Formation : Initiation à la finance et à la comptabilité hospitalières,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Maîtriser le vocabulaire et les notions essentielles de la finance</li><li>Intégrer les particularités de la comptabilité publique et des EPS
</li><li>Monter un budget prévisionnel</li></ul>
                                            </div>",800 €,LS05,https://www.comundi.fr/formation-finances-hospitalieres/formation-initiation-a-la-finance-et-a-la-comptabilite-hospitalieres.html,7,800
2 jours - 14 h,Formation : Facturation hospitalière en T2A,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Maîtriser le modèle de financement à l'activité
</li><li>Anticiper les problèmes inhérents à l'organisation de votre chaîne de facturation
</li><li>Mettre en place la T2A et la facturation au fil de l'eau</li></ul>
                                            </div>",1 755 €,BT67,https://www.comundi.fr/formation-finances-hospitalieres-1/formation-facturation-hospitaliere-en-t2a.html,14,1755
2 jours - 14 h,Formation : Facturation au fil de l'eau et parcours de soins coordonnés,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Mesurer les conséquences de la facturation au fil de l'eau sur votre organisation
</li><li>Adapter votre chaîne de facturation à ces changements
</li><li>Améliorer le recueil des données médico-administratives</li></ul>
                                            </div>",1 300 €,DR05,https://www.comundi.fr/formation-finances-hospitalieres/formation-facturation-au-fil-de-l-eau-et-parcours-de-soins-coordonnes.html,14,1300
3 jours - 21 h,Formation : EPRD et PGFP,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Garantir la qualité des données de l'EPRD grâce à l'analyse financière
</li><li>Savoir identifier les points clés des PGFP
</li><li>Opérer une lecture financière globale des documents produits par votre établissement</li></ul>
                                            </div>",2 500 €,ME05,https://www.comundi.fr/formation-finances-hospitalieres-1/formation-eprd-et-pgfp.html,21,2500
2 jours - 14 h,Formation : Assistant(e) contrôle de gestion,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Acquérir les fondamentaux de la gestion d’entreprise</li>
<li>Maîtriser les outils et processus budgétaires clés pour établir et suivre un budget</li>
<li>S’affirmer et collaborer efficacement avec les managers opérationnels</li>
</ul>
                                            </div>",1 300 €,5140,https://www.comundi.fr/formation-finance-pour-tous/formation-assistant-e-controle-de-gestion.html,14,1300
2 jours - 14 h,Formation : Piloter un prestataire,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Acquérir les méthodes et outils pour réussir ses sous-traitances, externalisations et outsourcings</li>
<li>Garantir la performance de la prestation et le respect du budget</li>
<li>Gagner en leadership et manager une équipe externe</li>
</ul>
                                            </div>",1 300 €,4863,https://www.comundi.fr/formation-se-perfectionner-au-management-de-projet/formation-piloter-un-prestataire.html,14,1300
2 jours - 14 h,Formation : Manager une équipe projet,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Etre le leader du projet</li><li>Avoir une vision globale de la conduite de projet
</li><li>Piloter la mise en oeuvre du projet</li></ul>
                                            </div>",1 300 €,RS47,https://www.comundi.fr/formation-se-perfectionner-au-management-de-projet/formation-manager-une-equipe-projet.html,14,1300
2 jours - 14 h,Formation : Manager et gérer en multi-projets,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Savoir hiérarchiser les différents projets et piloter les ressources partagées
</li><li>Créer des outils de suivi et de synthèse performants
</li><li>Adapter son management et son comportement au mode multi-projets</li></ul>
                                            </div>",1 300 €,LG49,https://www.comundi.fr/formation-se-perfectionner-au-management-de-projet/formation-manager-et-gerer-en-multi-projets.html,14,1300
2 jours - 14 h,Formation : Initiation aux méthodes agiles,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Comprendre la démarche, les valeurs et principes des « méthodes agiles »</li>
<li>Définir un projet et le construire en appliquant les pratiques des équipes Agiles</li>
<li>Acquérir les outils du management de projets en mode Agile</li>
</ul>
                                            </div>",1 300 €,5143,https://www.comundi.fr/formation-se-perfectionner-au-management-de-projet/formation-initiation-aux-methodes-agiles.html,14,1300
2 jours - 14 h,Formation : Conduire une démarche RSE au sein de son organisation,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>S’approprier la démarche projet RSE en 7 étapes</li>
<li>Comprendre les principes, enjeux et les leviers de réussite d’une démarche RSE</li>
<li>Développer son leadership pour être porteur de la démarche et la mettre en place dans son organisation</li>
</ul>
                                            </div>",1 300 €,5120,https://www.comundi.fr/formation-se-perfectionner-au-management-de-projet/formation-conduire-une-demarche-rse-au-sein-de-son-organisation.html,14,1300
2 jours - 14 h,Formation : Conduire un projet à l'international,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Mettre en place des processus pour fédérer des approches de travail différentes</li>
<li>Anticiper et gérer les conflits et les malentendus culturels pour assurer le succès du projet</li>
<li>Eviter les pièges du management à distance</li>
</ul>
                                            </div>",1 600 €,2192,https://www.comundi.fr/formation-se-perfectionner-au-management-de-projet/formation-conduire-un-projet-a-l-international.html,14,1600
2 jours - 14 h,Formation : Communiquer en mode projet : les fondamentaux,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>S'approprier les techniques de communication hors hiérarchie</li><li>S'entraîner à obtenir l’adhésion des interlocuteurs à chaque phase du projet
</li><li>Négocier, coopérer et apprendre à gérer les conflits</li></ul>
                                            </div>",1 300 €,DJ04,https://www.comundi.fr/formation-se-perfectionner-au-management-de-projet/formation-communiquer-en-mode-projet-les-fondamentaux.html,14,1300
3j+évaluation via QCM en salle,Cycle certifiant yellow belt lean six sigma IASSC,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Apprendre les principes de l’amélioration permanente,</li>
<li>Savoir identifier les problèmes à traiter,</li>
<li>Connaître les différentes méthodologies de résolution de problème</li>
<li>Comprendre la méthodologie de résolution de problème suivant le DMAIC</li>
</ul>
                                            </div>",1 950 €,5299,https://www.comundi.fr/formation-management-de-projets-techniques/cycle-certifiant-yellow-belt-lean-six-sigma-iassc.html,21,1950
3j+3j+3j+évaluation via QCM en salle,Cycle certifiant green belt lean six sigma IASSC,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Analyser les données, extraire les variables et manipuler les tests d'hypothèse</li>
<li>Concevoir les plans d'expériences simples permettant de collecter les données</li>
<li>Maîtriser la modélisation de processus et détecter les corrélations entre variables</li>
<li>Passer la certification Lean Six Sigma Green Belt</li>
</ul>
                                            </div>",4 875 €,5302,https://www.comundi.fr/formation-management-de-projets-techniques/cycle-certifiant-green-belt-lean-six-sigma-iassc.html,63,4875
4j+4j+évaluation via QCM en salle,Cycle certifiant black belt  lean six sigma IASSC,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Maîtriser le modèle DMAIC</li>
<li>Être capable de sélectionner les outils Lean Six Sigma adéquats</li>
<li>Savoir mener un projet Lean Six Sigma d'envergure</li>
</ul>
                                            </div>",4 475 €,5303,https://www.comundi.fr/formation-management-de-projets-techniques/cycle-certifiant-black-belt-lean-six-sigma-iassc.html,56,4475
2 jours - 14 h,Formation Anticorrosion : comprendre et lutter contre la corrosion des métaux,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Reconnaitre les causes, facteurs et mécanismes responsables de la corrosion</li>
<li>Définir les moyens pour retarder la corrosion dès la conception</li>
<li>Choisir la protection et les actions de lutte les plus adaptés</li>
</ul>
                                            </div>",1 495 €,3555,https://www.comundi.fr/formation-traitements-de-surface/formation-anticorrosion-comprendre-et-lutter-contre-la-corrosion-des-metaux.html,14,1495
2 jours - 14 h,Formation : Adhésion et adhérence : comment optimiser la cohésion,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Appréhender les notions d’adhésion et d’adhérence macro et microscopique</li>
<li>Concevoir une adhérence entre deux surfaces et la tester</li>
<li>Déterminer les hypothèses et causes lors de rupture d’adhérence</li>
</ul>
                                            </div>",1 300 €,3564,https://www.comundi.fr/formation-traitements-de-surface/formation-adhesion-et-adherence-comment-optimiser-la-cohesion.html,14,1300
2 jours - 14 h,Formation: Sociologie des organisations pour non sociologue,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Acquérir les bases de la sociologie pour mieux comprendre le monde du travail
</li><li>S'approprier des outils simples pour analyser les organisations 
</li><li>S'appuyer sur la sociologie pour décrypter la souffrance au travail</li></ul>
                                            </div>",1 300 €,MT57,https://www.comundi.fr/formation-pratiques-rh-pour-manager/formation-sociologie-des-organisations-pour-non-sociologue.html,14,1300
2 jours - 14 h,Formation: Psychologie pour non psychologue,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Acquérir les bases de la psychologie pour mieux comprendre les comportements
</li><li>Savoir identifier les signes de souffrance psychique au travail
</li><li>Analyser le travail et les organisations grâce à la psychologie clinique</li></ul>
                                            </div>",1 300 €,LR48,https://www.comundi.fr/formation-pratiques-rh-pour-manager/formation-psychologie-pour-non-psychologue.html,14,1300
2 jours - 14 h,"Formation : Repérer, évaluer et développer les « soft skills » de ses collaborateurs","<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Mieux connaître les « soft skills », comprendre leur importance pour l’entreprise et dans l’employabilité des salariés</li>
<li>Savoir repérer et évaluer les soft skills de ses collaborateurs pour mieux recruter, favoriser l’intelligence collective et la montée en compétences</li>
<li>Développer l’intelligence émotionnelle, les capacités relationnelles, créatives et d’adaptation de ses équipes pour améliorer la coopération et mieux gérer les périodes de stress</li>
</ul>
                                            </div>",1 300 €,5446,https://www.comundi.fr/formation-pratiques-rh-pour-manager/formation-reperer-evaluer-et-developper-les-soft-skills-de-ses-collaborateurs.html,14,1300
2 jours - 14 h,Formation : L'essentiel RH pour Managers,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Intégrer les principes et outils RH dans son management</li>
<li>Maîtriser les règles essentielles en matière de réglementation du travail</li>
<li>Gérer et développer les compétences de son équipe</li>
</ul>
                                            </div>",1 300 €,4335,https://www.comundi.fr/formation-pratiques-rh-pour-manager/formation-l-essentiel-rh-pour-managers.html,14,1300
10 jours - 70 h,Cycle de formation certifiant Management et leadership,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Optimiser vos compétences managériales pour répondre aux nouveaux enjeux RH</li>
<li>Maîtriser les outils du management transversal et de la gestion de projet</li>
<li>Développer votre leadership et adopter une posture managériale juste</li>
</ul>
                                            </div>",6 500 €,5529,https://www.comundi.fr/formation-gagner-en-leadership/cycle-de-formation-certifiant-management-et-leadership.html,70,6500
2 jours - 14 h,Formation : Créer et optimiser son dispositif de veille pour gagner en efficacité,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Maîtriser les étapes de la mise en place et l'animation d'une dynamique de veille
</li><li>Choisir et mettre en place des outils gratuits et/ou des plateformes de veille professionnelles
</li><li>Développer les aspects collaboratifs et les réseaux humains</li></ul>
                                            </div>",1 600 €,MY27,https://www.comundi.fr/formation-veille-et-recherches-sur-internet/formation-creer-et-optimiser-son-dispositif-de-veille-pour-gagner-en-efficacite.html,14,1600
2 jours - 14 h,Formation : Stratégie e-CRM,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Décrypter les tendances e-CRM : comportements consommateurs et nouveaux médias</li>
<li>Concevoir une stratégie e-CRM pertinente et génératrice de valeur</li>
<li>Mesurer l’efficacité et le ROI de ses actions d’e-CRM</li>
</ul>
                                            </div>",1 595 €,ZA06,https://www.comundi.fr/formation-marketing-multicanal-et-relationnel/formation-strategie-e-crm.html,14,1595
2 jours - 14 h,Formation : Stratégie de marketing client multicanal,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Identifier les leviers de recrutement et de fidélisation et concevoir des plans d’action relationnels différenciés.
</li><li>Coupler efficacement les différents canaux offline et online
</li><li>Réussir la mise en place d’un programme CRM
</li><li>Exploiter les données au service de la connaissance client
</li><li>Evaluer la performance et l’impact des actions marketing client</li></ul>
                                            </div>",1 595 €,CY21,https://www.comundi.fr/formation-marketing-multicanal-et-relationnel/formation-strategie-de-marketing-client-multicanal.html,14,1595
1 jour - 7 h,Formation : Expérience client : enjeu majeur de différenciation,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Simplifier et fluidifier le parcours client omnicanal
</li><li>Intégrer la dimension émotionnelle pour engager vos clients
</li><li>Acquérir les outils et méthodes pour vous différencier
</li><li>Améliorer votre satisfaction clients</li></ul>
                                            </div>",995 €,2189,https://www.comundi.fr/formation-marketing-du-category-management-et-du-point-de-vente/formation-experience-client-enjeu-majeur-de-differenciation.html,7,995
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,"Formation la paie des cadres, des dirigeants et des mandataires sociaux","<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Maîtriser les spécificités de la paie des cadres, des dirigeants et des mandataires sociaux</li><li>Etablir les bulletins de paie des cadres, dirigeants et mandataires sociaux</li><li>Calculer et payer les charges sociales spécifiques</li><li>Gérer les régularisations, réintégrations sociales et fiscales</li></ul>
                                            </div>",,3097,https://www.comundi.fr/formation-approfondissement-en-paie/formation-la-paie-des-cadres-des-dirigeants-et-des-mandataires-sociaux.html,,
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Contraintes budgétaires : optimiser vos coûts RH,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Mener une analyse financière de la masse salariale
</li><li>Impulser un dialogue de performance
</li><li>Détecter des solutions concrètes d'optimisation des coûts</li></ul>
                                            </div>",,dr13,https://www.comundi.fr/formation-approfondissement-en-paie/contraintes-budgetaires-optimiser-vos-couts-rh.html,,
2 jours - 14 h,"Formation : Créativité, innovation et management","<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Mobiliser sa créativité et encourager celle de son équipe</li><li>Acquérir les bons réflexes des équipes agiles et innovantes
</li><li>S’inspirer des grands leaders pour cultiver l’innovation au quotidien dans son équipe</li></ul>
                                            </div>",1 600 €,RS20,https://www.comundi.fr/formation-manager-autrement/formation-creativite-innovation-et-management.html,14,1600
1 jour - 7 h,Formation : Construire sa stratégie Océan Bleu,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Découvrir, définir et mettre en mouvement la «Stratégie Océan Bleu» pour développer des offres innovantes de produits et services</li>
<li>Comprendre et expérimenter les outils-clés de construction et d’exécution de la « Stratégie Océan Bleu » pour mettre de la créativité dans la stratégie et créer la tendance</li>
<li>Motiver et engager son organisation pour mettre en œuvre sa stratégie avec succès</li>
</ul>
                                            </div>",800 €,4795,https://www.comundi.fr/formation-manager-autrement/formation-construire-sa-strategie-ocean-bleu.html,7,800
1 jour - 7 h,Formation : Bitcoin & Blockchain - les fondamentaux,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Comprendre le fonctionnement du Bitcoin et des crypto-monnaies</li>
<li>Découvrir les usages et enjeux de la technologie blockchain</li>
<li>Identifier les acteurs du marché et saisir les opportunités stratégiques</li>
</ul>
                                            </div>",900 €,4894,https://www.comundi.fr/formation-transformation-digitale-strategie-organisation-et-management/formation-bitcoin-blockchain-les-fondamentaux.html,7,900
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation : Prévention des risques en EAJE,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Développer / renforcer votre politique de prévention des risques pour améliorer la qualité de vie dans votre crèche</li>
<li>Savoir réagir à un évènement de force majeur</li>
<li>Élaborer un Protocole de Mise en Sureté</li>
<li>Manager vos équipes en EAJE en prenant en compte les risques psychosociaux</li>
</ul>
                                            </div>",,4300,https://www.comundi.fr/formation-eaje-creation-et-gestion-de-structure/formation-prevention-des-risques-en-eaje.html,,
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation : Agrément et emploi des assistants maternels et familiaux par les collectivités publiques,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Connaître et mettre en oeuvre les normes en vigueur</li>
<li>Savoir gérer les situations nouvelles</li>
<li>Être à même de motiver utilement les décisions</li>
<li>Assurer la sécurité juridique des décisions</li>
</ul>
                                            </div>",,MBA26,https://www.comundi.fr/formation-pilotage-strategique-et-management-des-etablissements/formation-agrement-et-emploi-des-assistants-maternels-et-familiaux-par-les-collectivites-publiques.html,,
1 jour - 7 h,Formation: Hygiène et sécurité alimentaire en crèche,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Comprendre et maîtriser les règles d’hygiène et de sécurité alimentaire (HACCP)</li>
<li>Analyser les risques et sécuriser les pratiques alimentaires au sein de votre structure d’accueil du jeune enfant</li>
</ul>
                                            </div>",800 €,5092,https://www.comundi.fr/formation-eaje-creation-et-gestion-de-structure/formation-hygiene-et-securite-alimentaire-en-creche.html,7,800
Matinée,Formation : Rédiger un livret d’accueil en crèche,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Maîtriser le contenu et la forme des livrets d’accueil en crèche</li>
<li>Consolider un levier important de la bonne intégration des nouveaux enfants au sein de la structure</li>
<li>Prévoir et actualiser une version destinée aux nouveaux membres du personnel afin d’optimiser la transmission d’informations à leur arrivée</li>
</ul>
                                            </div>",400 €,5220,https://www.comundi.fr/formation-eaje-creation-et-gestion-de-structure/formation-rediger-un-livret-d-accueil-en-creche.html,4,400
3 jours - 21 h,Formation : PSU et outils de gestion,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Construire des outils de gestion opérationnels</li>
<li>Adapter les ressources aux besoins de votre crèche</li>
<li>Favoriser un remplissage homogène de votre établissement</li>
</ul>
                                            </div>",2 200 €,GI28,https://www.comundi.fr/formation-eaje-creation-et-gestion-de-structure/formation-psu-et-outils-de-gestion.html,21,2200
2 jours - 14 h,Formation : Piloter et évaluer un projet d'établissement en EAJE,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Acquérir une méthode solide pour rédiger son projet
</li><li>Être capable de piloter un projet en structure d'accueil Petite Enfance
</li><li>Communiquer autour de son projet et le faire évoluer</li></ul>
                                            </div>",1 300 €,AV06,https://www.comundi.fr/formation-eaje-creation-et-gestion-de-structure/formation-piloter-et-evaluer-un-projet-d-etablissement-en-eaje.html,14,1300
1 jour - 7 h,Formation : décryptage de la nouvelle Convention d’Objectifs et de Gestion (COG) 2018 – 2022,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Décrypter les impacts de la nouvelle COG 2018 – 2022 sur l’organisation et le fonctionnement de votre structure Petite Enfance</li>
<li>Appréhender les conséquences pratiques introduites et anticiper les risques contentieux</li>
<li>Redéfinir les modalités d’exercice de la PSU (Prestation de Service Unique) dans votre structure à la lumière de la nouvelle COG</li>
</ul>
                                            </div>",945 €,5224,https://www.comundi.fr/formation-eaje-creation-et-gestion-de-structure/formation-decryptage-de-la-nouvelle-convention-d-objectifs-et-de-gestion-cog-2018-2022.html,7,945
1 jour - 7 h,Formation : Créer une Maison d’Assistants Maternels (MAM),"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Agrément, choix du local… Concevoir et modéliser votre projet</li>
<li>Sécuriser pas à pas les étapes de création d’une MAM</li>
<li>Assurer le financement de sa MAM</li>
</ul>
                                            </div>",800 €,5221,https://www.comundi.fr/formation-eaje-creation-et-gestion-de-structure/formation-creer-une-maison-d-assistants-maternels-mam.html,7,800
